EDL	Record In	Record Out	Clipname	Subtitle

https://chrt.fm/track/53A61E/pdst.fm/e/www.podtrac.com/pts/redirect.mp3/waaa.wnyc.org/radiolab_podcast/radiolab_podcast120222_ashes.mp3?awCollectionId=15957&awEpisodeId=1276180

A global pandemic. Thousands dying. A passive government. An afflicted group
fueled by grief and anger. In this episode, first aired in 2020, Reporter
Tracie Hunte wanted to understand this moment of pain and confusion. As she
looked back three decades, she found a complicated answer to a simple question:
when nothing seems to work, how do you make change?

Special thanks to Dr. Anthony Fauci.

Episode Credits:

Reported by Tracie HuntProduced by Matt Kielty

Our newsletter comes out every Wednesday. It includes short essays,
recommendations, and details about other ways to interact with the show. Sign
up (https://radiolab.org/newsletter)!

Radiolab is supported by listeners like you. Support Radiolab by becoming a
member of The Lab (https://members.radiolab.org/) today.

Follow our show on Instagram, Twitter and Facebook @radiolab, and share your
thoughts with us by emailing radiolab@wnyc.org

Leadership support for Radiolab’s science programming is provided by the Gordon
and Betty Moore Foundation, Science Sandbox, a Simons Foundation Initiative,
and the John Templeton Foundation. Foundational support for Radiolab was
provided by the Alfred P. Sloan Foundation.

EDL	00:00:00,000	00:00:01,360	| The Ashes on the Lawn |	I'm Katie Thornton. 
EDL	00:01:35,600	00:01:45,500	| The Ashes on the Lawn |	This episode first aired back in 2020 and it's called the ashes on the lawn before we start just letting you know there is some explicit language in this story. 

TITLE

EDL	00:01:45,500	00:02:05,090	| The Ashes on the Lawn |	Wait, you look all right listening to radio lab radio from WNY..C rewind hello, this is radio lab. 
EDL	00:02:05,090	00:02:09,840	| The Ashes on the Lawn |	I'm Lulu Miller and today we have a story from reporter Tracy Hunt. 
EDL	00:02:09,840	00:02:10,380	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]

EDL	00:02:10,380	00:02:27,350	| The Ashes on the Lawn |	Where does the story start, so I'm gonna start you off in New York City, June 25th 1989, it was the gay pride parade, but it was also the very first time that David Robinson ever laid eyes on Warren Crowd. 
EDL	00:02:27,350	00:02:46,040	| The Ashes on the Lawn |	I noticed this guy I thought was incredibly hot, marching by with a group of people he was shirtless and muscling and blonde hair, but it was but was like really short except these two like what Wolverine had. 
EDL	00:02:46,040	00:02:46,700	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:02:46,700	00:02:49,640	| The Ashes on the Lawn |	Okay, they're almost like these little wings up there. 
EDL	00:02:49,640	00:02:50,350	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:02:50,350	00:02:57,650	| The Ashes on the Lawn |	If you just look amazing and I remember just thinking, oh my God, but yeah. 
EDL	00:02:57,650	00:03:02,830	| The Ashes on the Lawn |	He was marching by with a group of people and I remember thinking, oh, well. 
EDL	00:03:02,830	00:03:04,409	| The Ashes on the Lawn |	I'll never see him again, 

EDL	00:03:04,409	00:03:12,460	| The Ashes on the Lawn |	but the next day David was that of AIDS activist meeting who should be in the front row with this guy. 
EDL	00:03:12,460	00:03:13,660	| The Ashes on the Lawn |	[ SPACE 1.2 secs ]
EDL	00:03:13,660	00:03:28,840	| The Ashes on the Lawn |	So, yeah and he invited me to have lunch with him the next day at the apartment where he was staying and I did go over there and we didn't in fact have lunch. 
EDL	00:03:28,840	00:03:30,280	| The Ashes on the Lawn |	[ SPACE 1.4 secs ]
EDL	00:03:30,280	00:03:34,250	| The Ashes on the Lawn |	We had a lovely, lovely time right away. 
EDL	00:03:34,250	00:03:36,570	| The Ashes on the Lawn |	David was like, okay, this is it. 
EDL	00:03:36,570	00:03:41,350	| The Ashes on the Lawn |	You're the one he had grown up on a small small dairy farm in Connecticut. 
EDL	00:03:41,350	00:04:02,870	| The Ashes on the Lawn |	It had been a very joyless and sometimes abusive happening and he was kicked out at 17 for being gay and he ended up having his own gosh, I don't know, just unique way of being in the world. 
EDL	00:04:02,870	00:04:03,430	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:04:03,430	00:04:34,190	| The Ashes on the Lawn |	So it's a little hard to talk about because I feel he got cheated so so badly, Warren had told David when they first got together that he was HIV positive and it was less than half a year after we moved down to San Francisco that the infection started coming fast and furious by the last several months of his life. 
EDL	00:04:34,190	00:04:35,060	| The Ashes on the Lawn |	He was just. 
EDL	00:04:35,060	00:04:39,380	| The Ashes on the Lawn |	You know, pretty much homebound last two months, he had dementia(痴呆). 
EDL	00:04:39,380	00:04:51,980	| The Ashes on the Lawn |	The last thing he got ended up causing dementia and he was he was in the hospital for much of that time I took him home his last months until he had dementia. 
EDL	00:04:51,980	00:05:02,760	| The Ashes on the Lawn |	He was really angry, David and Warren would sit around their apartment talking about that anchor and talking about that they both knew Warren was going to die. 
EDL	00:05:02,760	00:05:08,360	| The Ashes on the Lawn |	You know we would talk and he would express that it was his wish to. 
EDL	00:05:08,360	00:05:27,170	| The Ashes on the Lawn |	You know, make a difference beyond his death, Warren died April 1992 you know this is a moment when the eighth epidemic had been going on now for about 10 years, research into treatments had basically stalled. 
EDL	00:05:27,170	00:05:32,610	| The Ashes on the Lawn |	There was no here in sights more and more people were getting sick and dying. 
EDL	00:05:32,610	00:05:39,340	| The Ashes on the Lawn |	We are in the middle of a pole and it looked like the bishop administration was just not paying attention. 
EDL	00:05:39,340	00:05:52,240	| The Ashes on the Lawn |	40 million people is a place and nobody acts as it is nobody and people like Larry Kramer who co-founded ACT UP, an activist group that David was a part of. 
EDL	00:05:52,240	00:05:52,540	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:05:52,540	00:05:54,360	| The Ashes on the Lawn |	They were at their wits end. 
EDL	00:05:54,360	00:05:58,508	| The Ashes on the Lawn |	We are in the worst shape we have ever ever been in. 
EDL	00:05:58,508	00:06:14,670	| The Ashes on the Lawn |	They had spent years protesting and demonstrating and just trying to get people to pay attention, trying to get the government to just do something nobody knows what to do and that was David's question too. 
EDL	00:06:14,670	00:06:31,845	| The Ashes on the Lawn |	What do I do next, what would Warren want me to do, he wanted to be able to continue to make a difference even after he died and so David was sitting in their San Francisco apartment alone with a box of Warren's ashes and inside was just, you know, 
EDL	00:06:31,845	00:06:40,230	| The Ashes on the Lawn |	the plastic bag with the ashes and bone chips and and eventually he decided that he needed to use what was left of Warren's body. 
EDL	00:06:40,230	00:06:40,840	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:06:40,840	00:06:42,500	| The Ashes on the Lawn |	To make people pay attention. 
EDL	00:06:42,500	00:06:50,910	| The Ashes on the Lawn |	[ SPACE 8.4 secs ]

* ATTENTION
EDL	00:06:50,910	00:06:52,210	| The Ashes on the Lawn |	So in October 1992. 
EDL	00:06:52,210	00:06:58,360	| The Ashes on the Lawn |	David and about 150 other people, many of them members of ACT UP, met in DC right in front of the capital. 
EDL	00:06:58,360	00:06:58,740	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:06:58,740	00:07:07,000	| The Ashes on the Lawn |	You know I remember a lot lining up with these other people and some were people I knew very well from ACT UP and some were people I had never met. 
EDL	00:07:07,000	00:07:07,340	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:07:07,340	00:07:19,202	| The Ashes on the Lawn |	I mean, it was so this role Shane Butler, a student at the time, the drama and the people remember it being hot Alexis Danzig she had lost her father to AIDS 
EDL	00:07:19,202	00:07:29,376	| The Ashes on the Lawn |	and the crunch of the gravel under our feet as we walked down the the mall, it started marching down the path along the them all, 
EDL	00:07:29,376	00:07:34,130	| The Ashes on the Lawn |	and as they marched they started to chant 
EDL	00:07:34,130	00:07:37,430	| The Ashes on the Lawn |	[ SPACE 3.3 secs ]
EDL	00:07:37,430	00:07:39,840	| The Ashes on the Lawn |	We're bringing our dead to your door. 
EDL	00:07:39,840	00:07:41,670	| The Ashes on the Lawn |	We won't take it anymore. 
EDL	00:07:41,670	00:07:42,050	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:07:42,050	00:07:48,930	| The Ashes on the Lawn |	One of my strongest memories is just of how sore my throat I lost my voice and just pushed through it. 
EDL	00:07:48,930	00:07:49,350	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:07:49,350	00:07:58,860	| The Ashes on the Lawn |	I was in a line of people who were carrying their beloved persons ashes in a variety of different kinds of vessels. 
EDL	00:07:58,860	00:07:59,300	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:07:59,300	00:08:02,950	| The Ashes on the Lawn |	Some had ashes in a baggy what was your ashes? 
EDL	00:08:02,950	00:08:06,210	| The Ashes on the Lawn |	And I had I had created a box. 
EDL	00:08:06,210	00:08:07,330	| The Ashes on the Lawn |	[ SPACE 1.1 secs ]
EDL	00:08:07,330	00:08:16,380	| The Ashes on the Lawn |	It was painted black with gold Line drawings on it and then for like the last section and of the market. 
EDL	00:08:16,380	00:08:16,980	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:08:16,980	00:08:20,340	| The Ashes on the Lawn |	We were getting closer to the White House. 
EDL	00:08:20,340	00:08:22,370	| The Ashes on the Lawn |	[ SPACE 2.0 secs ]
EDL	00:08:22,370	00:08:28,951	| The Ashes on the Lawn |	Just remember almost a grim feeling and as the White House came into view, 
EDL	00:08:28,951	00:08:42,190	| The Ashes on the Lawn |	they could see a line of Mounted Police. the police had prepared by filling up with on their horses 20 feet away from the White House gate surrounding the entire perimeter of the White House. 
EDL	00:08:42,190	00:08:44,090	| The Ashes on the Lawn |	When you look at videos of this. 
EDL	00:08:44,090	00:08:56,190	| The Ashes on the Lawn |	It's terrifying these these cops like high up on their horses and it looks like the horses are going to stampede them or something. but the protesters had a strategy. 
EDL	00:08:56,190	00:09:10,400	| The Ashes on the Lawn |	The Romans called it the the cuneus, the wedge they formed a triangle with a couple people up in front, pointing directly at the Mounted Police behind them were all the people carrying the ashes. 
EDL	00:09:10,400	00:09:10,710	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:09:10,710	00:09:17,870	| The Ashes on the Lawn |	All you got to do is get the front of the triangle through the straight line of the enemy and they begin to turn around to see what's happening. 
EDL	00:09:17,870	00:09:18,640	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:09:18,640	00:09:26,795	| The Ashes on the Lawn |	The protesters got the tip of that triangle between two of the Mounted Police and pushed through and that gave everyone else an opening to to get through 
EDL	00:09:26,795	00:09:30,980	| The Ashes on the Lawn |	the line of us thinking because you had ass is to get right up to the fence. 
EDL	00:09:30,980	00:09:39,470	| The Ashes on the Lawn |	You know all of a sudden I remember being at the fence physically crammed into one another as we all tried to get as close as possible. 
EDL	00:09:39,470	00:09:44,720	| The Ashes on the Lawn |	[ SPACE 5.2 secs ]
EDL	00:09:44,720	00:09:56,310	| The Ashes on the Lawn |	Things became very quick and very slow all at the same time. the people with the urns began to hurl those ashes onto the lawn. 
EDL	00:09:56,310	00:09:57,350	| The Ashes on the Lawn |	[ SPACE 1.0 secs ]
EDL	00:09:57,350	00:10:07,195	| The Ashes on the Lawn |	I remember opening this box and reaching in and the feel of the the bag and turning it over and shaking it. 
EDL	00:10:07,195	00:10:26,171	| The Ashes on the Lawn |	I shook the box out and feeling seeing these ashes wave of action in the air, some of them just falling and some going on the wind wafted back over us and began to coat us 
EDL	00:10:26,171	00:10:36,827	| The Ashes on the Lawn |	and some getting on my arm the feel of those ashes, even the taste of them on your face and lips I can remember having to clean my glasses 
EDL	00:10:36,827	00:10:44,170	| The Ashes on the Lawn |	because I couldn't see and it was somewhere in the process of. 
EDL	00:10:44,170	00:10:51,910	| The Ashes on the Lawn |	This that I went from that grim feeling to just this just fierce. 
EDL	00:10:51,910	00:10:52,530	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:10:52,530	00:11:08,470	| The Ashes on the Lawn |	I don't know feeling like an embodiment of enraged green this incredibly release of energy out into the universe. 
EDL	00:11:08,470	00:11:26,740	| The Ashes on the Lawn |	[ SPACE 25 secs ] 




EDL	00:11:26,740	00:11:30,310	| The Ashes on the Lawn |	Wow, but I had never heard about this. 
EDL	00:11:30,310	00:11:32,270	| The Ashes on the Lawn |	Yeah, I didn't know this happened. 
EDL	00:11:32,270	00:11:52,670	| The Ashes on the Lawn |	Yeah, I think when I first heard this, I think the dominant thing that I was like feeling and thinking was, that's a metal like it's so like I just I can't think of a like more pure response to that sort of anger and that disgrace. 
EDL	00:11:52,670	00:11:53,010	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:11:53,010	00:12:04,220	| The Ashes on the Lawn |	But at the same time, you know it just it just didn't there, there wasn't any meaningful response from the White House and didn't get a lot of media attention at the time. 
EDL	00:12:04,220	00:12:04,570	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:12:04,570	00:12:09,610	| The Ashes on the Lawn |	And I think if you were in in DC that day at that moment, you probably wouldn't have known that that had happened. 
EDL	00:12:09,610	00:12:14,740	| The Ashes on the Lawn |	Right, and it's like, how loud do you have to like, what does it take. 
EDL	00:12:14,740	00:12:22,982	| The Ashes on the Lawn |	Yeah, and and honestly that's the thing about ACT UP the group that David was part of that made the ashes action happen because when you look at all the other things 
EDL	00:12:22,982	00:12:29,770	| The Ashes on the Lawn |	that ACT UP did they're just constantly trying to punch through and and get people to see them like, for example. 
EDL	00:12:29,770	00:12:32,770	| The Ashes on the Lawn |	They did this die in at Saint Patrick's cathedral. 
EDL	00:12:32,770	00:12:35,740	| The Ashes on the Lawn |	What did that look like, this is jesus christ. 
EDL	00:12:35,740	00:12:36,240	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:12:36,240	00:12:39,140	| The Ashes on the Lawn |	I am in front of Saint Patrick's cathedral on Sunday. 
EDL	00:12:39,140	00:12:41,760	| The Ashes on the Lawn |	We're here reporting on some of the people I talked to. 
EDL	00:12:41,760	00:12:49,410	| The Ashes on the Lawn |	They said that the plan was go into Saint Patrick's cathedral just lie down like they were dying or dead, you know simple. 
EDL	00:12:49,410	00:12:52,700	| The Ashes on the Lawn |	[ SPACE 3.3 secs ]
EDL	00:12:52,700	00:13:10,120	| The Ashes on the Lawn |	But some of the protesters went off scripts and stop killing someone, smashed a communion wafers and someone else started heckling the priests and I like the ashes action. 
EDL	00:13:10,120	00:13:19,030	| The Ashes on the Lawn |	This one got a lot of attention but not good attention when people from ACT UP started standing on pews and screaming. 
EDL	00:13:19,030	00:13:21,760	| The Ashes on the Lawn |	It really alienated the people who were praying. 
EDL	00:13:21,760	00:13:23,930	| The Ashes on the Lawn |	I saw people get very angry and said. 
EDL	00:13:23,930	00:13:24,390	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]

* Coronavirus
EDL	00:13:24,390	00:13:30,110	| The Ashes on the Lawn |	You know, when I learned this, I couldn't not think about all the protests that happened in the wake of George Floyd. 
EDL	00:13:30,110	00:13:30,940	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:13:30,940	00:13:33,230	| The Ashes on the Lawn |	You know coronavirus is happening. 
EDL	00:13:33,230	00:13:33,670	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:13:33,670	00:13:38,970	| The Ashes on the Lawn |	There's this expression of the grief and anger that people are carrying with them. 
EDL	00:13:38,970	00:13:39,660	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:13:39,660	00:13:43,290	| The Ashes on the Lawn |	They're all these conversations about you know what is the right way to protest? 
EDL	00:13:43,290	00:13:50,318	| The Ashes on the Lawn |	Can a process actually hurt the movement that you're protesting for like by being too just extreme or 
EDL	00:13:50,318	00:13:59,690	| The Ashes on the Lawn |	yeah or like to in your face or you know I just was wondering and I know I'm not really supposed to wonder this because I'm a journalist and you know. 
EDL	00:13:59,690	00:14:00,090	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:14:00,090	00:14:08,080	| The Ashes on the Lawn |	So just supposed to cover these sorts of things, but you know I feel like any citizen or activist or anybody has this question in their heart. 
EDL	00:14:08,080	00:14:11,900	| The Ashes on the Lawn |	Which is like what would work, what would make you know. 
EDL	00:14:11,900	00:14:25,690	| The Ashes on the Lawn |	How do you make change and the amazing thing about the early AIDS movement is that there are so many different kinds of protests going on that it's just like this perfect little petri dish for this. 
EDL	00:14:25,690	00:14:26,470	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]
EDL	00:14:26,470	00:14:27,530	| The Ashes on the Lawn |	What do you mean. 
EDL	00:14:27,530	00:14:28,920	| The Ashes on the Lawn |	Well, okay. 
EDL	00:14:28,920	00:14:51,520	| The Ashes on the Lawn |	So just to get started, let's go back to that very same day that the active activists were doing the ashes demonstration because right next to where they were marching on the mall, there was another AIDS demonstration unfurling the AIDS cult. 
EDL	00:14:51,520	00:14:52,110	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:14:52,110	00:14:55,490	| The Ashes on the Lawn |	Gary Barnhill I've heard of that one. 
EDL	00:14:55,490	00:15:30,810	| The Ashes on the Lawn |	Yes, yes, David, Calgary, they did these shillings of the quilt you know, every few years we James Martin case that day in 1992 they were Paul Castro 20000 of these three by 6 ft sections of quilt calf card Bob Greenwood that had Barbie dolls and leather jackets and soccer tropes. 
EDL	00:15:30,810	00:15:31,640	| The Ashes on the Lawn |	[ SPACE 0.8 secs ]

EDL	00:15:31,640	00:15:44,330	| The Ashes on the Lawn |	Douglas Lowery, all these mementos of people that have died, Felix the Lord, a vinegar there were no speeches or anything like that. 
EDL	00:15:44,330	00:15:59,930	| The Ashes on the Lawn |	Just Nicosia Trevino, people reading names Mark S each person with their own patch of quill. 
EDL	00:15:59,930	00:16:00,470	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:16:00,470	00:16:18,180	| The Ashes on the Lawn |	Billy Allen, Dan Allen, Clayton Barry made by family members or loved ones Raymond case day of cast you know you think of your grandmother taking care of you when you're sick, you think of chicken soup and tucked in a bit in bed. 
EDL	00:16:18,180	00:16:20,270	| The Ashes on the Lawn |	So I ended up talking to Mike Smith. 
EDL	00:16:20,270	00:16:21,350	| The Ashes on the Lawn |	My name is Mike Smith. 
EDL	00:16:21,350	00:16:27,370	| The Ashes on the Lawn |	I'm the co-founder of the AIDS quilt he was there from the beginning, and he told me that when the quilt first started. 
EDL	00:16:27,370	00:16:27,880	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:16:27,880	00:16:50,890	| The Ashes on the Lawn |	It also came from an angry place if you back up to its inception, many of the earliest panels were made out of anger and desperation, probably the best known of the angry ones is literally white vinyl with red oil paint and the red kind of ran down in drips along the bottom, he says Ralph Reagan. 
EDL	00:16:50,890	00:17:06,420	| The Ashes on the Lawn |	His blood is on your hands, but then about four weeks before the display, we'd had some coverage in The New Yorker and a few other things like right before the display in 1987, they had been putting out newsletters and doing all kinds of press. 
EDL	00:17:06,420	00:17:27,110	| The Ashes on the Lawn |	We've said if you get us a panel by October September 15, we would get it into the event on the mall a month later and on the three days around September 15, we had 800 pieces of overnight now oh, from every state and they weren't from the gay men in the urban course they were from mothers. 
EDL	00:17:27,110	00:17:35,180	| The Ashes on the Lawn |	It was all these like midwestern ladies whose sun died of AIDS and they had no one to talk about it with. 
EDL	00:17:35,180	00:17:41,160	| The Ashes on the Lawn |	They couldn't really talk about it, maybe with their families they couldn't even tell their church group what their son had died of. 
EDL	00:17:41,160	00:17:41,780	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:17:41,780	00:18:01,740	| The Ashes on the Lawn |	First of all, how much, how isolated and desolate do you have to be to create a beautiful, loving fabric memorial for your son and then box it up and send it to a bunch of gay men you don't know 3000 miles away, but we tapped into this nationwide sense of grief and that's when the panels he was saying started to get really. 
EDL	00:18:01,740	00:18:13,900	| The Ashes on the Lawn |	Really beautiful bomber jackets and high school track medals and things that mom put on that really tell the story of the person and it changed everything by the time we got the quilt out there on the mall. 
EDL	00:18:13,900	00:18:15,500	| The Ashes on the Lawn |	This wasn't a protest banner. 
EDL	00:18:15,500	00:18:27,270	| The Ashes on the Lawn |	It was literally all of America saying, wake up, our sons are dying rubber, you know when it came to talk about media attention. 
EDL	00:18:27,270	00:18:30,070	| The Ashes on the Lawn |	There's like a ton of media attention on the AIDS quilt. 
EDL	00:18:30,070	00:18:30,790	| The Ashes on the Lawn |	[ SPACE 0.7 secs ]
EDL	00:18:30,790	00:18:31,410	| The Ashes on the Lawn |	Good morning. 
EDL	00:18:31,410	00:18:39,270	| The Ashes on the Lawn |	It's sunrise here in Washington, DC I'm at the capital Mall where the names project AIDS quilt is to be unveiled as quilt. 
EDL	00:18:39,270	00:18:45,200	| The Ashes on the Lawn |	A dark reminder of AIDS and its victims was unfurled, each panel representing a depth. 
EDL	00:18:45,200	00:18:47,940	| The Ashes on the Lawn |	And it cracked open some political movement. 
EDL	00:18:47,940	00:18:48,260	| The Ashes on the Lawn |	[ SPACE 0.3 secs ]
EDL	00:18:48,260	00:18:56,402	| The Ashes on the Lawn |	I bet two thirds of the members of Congress at some point had a mother standing in their office with a quilt panel and then within a few years, 
EDL	00:18:56,402	00:19:11,270	| The Ashes on the Lawn |	the Ryan White act provided $2 billion staying public health systems and hospitals across the country that were buckling from the weight of all of these dying people and the fact that we could do it in a way that was also colorful and loving and. 
EDL	00:19:11,270	00:19:16,350	| The Ashes on the Lawn |	Warm and spoke to middle America made us a little bit of a Trojan horse. 
EDL	00:19:16,350	00:19:16,940	| The Ashes on the Lawn |	[ SPACE 0.6 secs ]
EDL	00:19:16,940	00:19:18,910	| The Ashes on the Lawn |	But not everyone agreed with that approach. 
EDL	00:19:18,910	00:19:20,220	| The Ashes on the Lawn |	[ SPACE 1.3 secs ]
EDL	00:19:20,220	00:19:25,340	| The Ashes on the Lawn |	Not a sad one are dying with beautiful, but it's not beautiful. 
EDL	00:19:25,340	00:19:25,830	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:19:25,830	00:19:37,942	| The Ashes on the Lawn |	It's how do you and and you know one thing that accent members were reacting to at the time is that a lot of the funerals of people who died of AIDS 
EDL	00:19:37,942	00:19:44,626	| The Ashes on the Lawn |	they were being covered in like the art section of a lot of major newspapers 
EDL	00:19:44,626	00:19:51,078	| The Ashes on the Lawn |	and as as one person told me, it was sort of like the world was seeing their deaths as aesthetic events 
EDL	00:19:51,078	00:20:01,140	| The Ashes on the Lawn |	and not as political events like instead of their debts being treated as news and politics, it was just a cultural event or something. 
EDL	00:20:01,140	00:20:04,710	| The Ashes on the Lawn |	And David in particular felt like that was what was happening with the quilt. 
EDL	00:20:04,710	00:20:09,220	| The Ashes on the Lawn |	I think the quilt itself does good stuff and is moving still. 
EDL	00:20:09,220	00:20:21,796	| The Ashes on the Lawn |	It's like making something beautiful out of the epidemic once I saw that the people who organized the quilt and the quilt showings would allow anyone to read names, 
EDL	00:20:21,796	00:20:35,200	| The Ashes on the Lawn |	including President Bush, it was just so clear to me that we needed to demonstrate what the actual result of AIDS was. 
EDL	00:20:35,200	00:20:36,970	| The Ashes on the Lawn |	There was nothing beautiful about it. 
EDL	00:20:36,970	00:20:37,930	| The Ashes on the Lawn |	This is what I'm left with. 
EDL	00:20:37,930	00:20:40,400	| The Ashes on the Lawn |	I've got a a box full of ashes and bone chips. 
EDL	00:20:40,400	00:20:41,810	| The Ashes on the Lawn |	You know there's no beauty in that. 
EDL	00:20:41,810	00:20:42,170	| The Ashes on the Lawn |	[ SPACE 0.4 secs ]
EDL	00:20:42,170	00:20:47,820	| The Ashes on the Lawn |	I know I was adamant that I didn't want this to be symbolic. 
EDL	00:20:47,820	00:20:48,300	| The Ashes on the Lawn |	[ SPACE 0.5 secs ]
EDL	00:20:48,300	00:20:56,890	| The Ashes on the Lawn |	The power in what we were doing was the utterly unvarnished and I guess you know when I think about these two approaches. 
EDL	00:20:56,890	00:21:02,604	| The Ashes on the Lawn |	Maybe it's sort of a false choice and you need both or what, but it feels like a dilemma. 
EDL	00:21:02,604	00:21:11,068	| The Ashes on the Lawn |	I know that I feel pulled towards the raw truths and expression of anger in the ashes action. 
EDL	00:21:11,068	00:21:16,990	| The Ashes on the Lawn |	Yeah yeah, but I can also see the beauty of the quilt and the pragmatic political power it had. 
EDL	00:21:16,990	00:21:17,960	| The Ashes on the Lawn |	[ SPACE 1.0 secs ]
EDL	00:21:17,960	00:21:19,510	| The Ashes on the Lawn |	And I think that's a real question. 
EDL	00:21:19,510	00:21:24,329	| The Ashes on the Lawn |	Especially for the people in pain, like where do you put your energy, yeah, 
EDL	00:21:24,329	00:21:31,894	| The Ashes on the Lawn |	but what I found and we'll get right into this after the break is a couple of moments in this movement 
EDL	00:21:31,894	00:21:38,120	| The Ashes on the Lawn |	that just totally unravel that question all right more in just a moment. 

* break
EDL	00:21:38,120	00:21:44,230	| The Ashes on the Lawn |	[ SPACE 6.1 secs ]
EDL	00:21:44,230	00:21:47,660	| The Ashes on the Lawn |	Hi, my name is Miranda, and I'm calling from Brussels in Belgium. 
